datetime,batteries,large hydro,other,solar,nuclear,geothermal,biogas,imports,coal,wind,small hydro,biomass,natural gas,renewables,solar thermal,hydro,thermal,demand,mcc,mce,mcl,mghg,lmp,demand_prediction,solar_forecast,wind_forecast
2020-02-18 21:00:00+00:00,-18.583333333333332,1289.0833333333333,0.0,6104.0,2263.9166666666665,690.75,186.83333333333334,6328.666666666667,12.75,71.0,184.66666666666666,344.8333333333333,6436.5,12641.0,0.0,3008.0,1020.0,21259.68,-2.486711354145346,16.870790208333347,-0.2043036337903274,0.0,14.17977449436427,21410.87,,
2020-02-18 22:00:00+00:00,7.083333333333333,1981.9166666666667,0.0,4418.916666666667,2264.3333333333335,659.3333333333334,187.75,8512.6,11.5,42.75,214.08333333333334,345.9166666666667,7624.666666666667,12641.0,0.0,3008.0,1020.0,21238.8,-2.5912995444759845,17.069871770833345,-0.2115538848816581,0.0,14.267017611157975,21761.36,,
2020-02-18 23:00:00+00:00,-11.5,1984.5833333333333,0.0,4141.166666666667,2262.6666666666665,653.1666666666666,187.08333333333334,9300.285714285714,10.333333333333334,46.0,219.83333333333334,347.8333333333333,9653.0,12641.0,0.0,3008.0,1020.0,21217.92,-2.6958877348066235,17.268953333333346,-0.21880413597298884,0.0,14.354260727951678,22522.24,,
2020-02-19 00:00:00+00:00,5.333333333333333,2166.5833333333335,0.0,2159.25,2262.75,716.6666666666666,181.83333333333334,6273.916666666667,10.75,444.8333333333333,201.16666666666666,344.9166666666667,10360.833333333334,12641.0,0.0,3008.0,1020.0,21197.04,-2.6901149708836307,17.16715100694446,-0.2204999363319344,0.0,14.256535333324777,23821.82,,
2020-02-19 01:00:00+00:00,23.166666666666668,2545.9166666666665,0.0,174.58333333333334,2261.75,713.25,184.41666666666666,7541.916666666667,11.416666666666666,685.8333333333334,210.41666666666666,345.8333333333333,11405.333333333334,12641.0,0.0,3008.0,1020.0,21176.16,-2.6843422069606375,17.065348680555577,-0.22219573669087997,0.0,14.158809938697877,25893.23,,
2020-02-19 02:00:00+00:00,-13.416666666666666,2255.6666666666665,0.0,-36.166666666666664,2260.3333333333335,691.5833333333334,184.58333333333334,8036.75,11.25,797.4166666666666,188.58333333333334,347.9166666666667,11784.416666666666,12641.0,0.0,3008.0,1020.0,21155.28,-2.6785694430376448,16.963546354166695,-0.2238915370498255,0.0,14.061084544070976,27811.86,,
2020-02-19 03:00:00+00:00,-4.75,1972.5,0.0,-35.25,2261.75,721.75,182.08333333333334,8271.0,11.833333333333334,690.4166666666666,179.58333333333334,342.4166666666667,10664.666666666666,12641.0,0.0,3008.0,1020.0,21134.4,-2.6727966791146516,16.86174402777781,-0.22558733740877107,0.0,13.963359149444075,27530.11,,
2020-02-19 04:00:00+00:00,-12.083333333333334,1667.5,0.0,-35.083333333333336,2260.3333333333335,693.6666666666666,183.75,8318.5,12.833333333333334,722.5833333333334,168.5,336.75,9847.75,12641.0,0.0,3008.0,1020.0,21113.52,-2.667023915191659,16.759941701388925,-0.22728313776771664,0.0,13.865633754817175,26790.15,,
2020-02-19 05:00:00+00:00,-14.916666666666666,1442.75,0.0,-35.25,2261.5833333333335,724.6666666666666,182.16666666666666,7729.166666666667,13.833333333333334,763.9166666666666,160.66666666666666,339.25,9290.166666666666,12641.0,0.0,3008.0,1020.0,21092.64,-2.661251151268666,16.65813937500004,-0.2289789381266622,0.0,13.767908360190273,25516.62,,
2020-02-19 06:00:00+00:00,-9.25,873.75,0.0,-35.916666666666664,2262.0833333333335,702.3333333333334,183.41666666666666,7269.583333333333,13.5,887.0833333333334,160.66666666666666,336.6666666666667,9286.5,12641.0,0.0,3008.0,1020.0,21071.76,-2.655478387345673,16.556337048611155,-0.23067473848560777,0.0,13.670182965563372,23750.15,,
2020-02-19 07:00:00+00:00,-15.333333333333334,812.8333333333334,0.0,-36.666666666666664,2262.8333333333335,709.3333333333334,184.08333333333334,7190.25,13.416666666666666,842.75,142.75,340.8333333333333,8347.916666666666,12641.0,0.0,3008.0,1020.0,21050.88,-2.64970562342268,16.45453472222227,-0.2323705388445533,0.0,13.572457570936471,22177.77,,
2020-02-19 08:00:00+00:00,-18.166666666666668,840.4166666666666,0.0,-37.25,2259.4166666666665,671.5,187.5,6842.916666666667,14.416666666666666,884.0833333333334,172.58333333333334,346.25,8709.083333333334,12641.0,0.0,3008.0,1020.0,21030.0,-2.643932859499687,16.35273239583339,-0.23406633920349887,0.0,13.47473217630957,21458.22,,
2020-02-19 09:00:00+00:00,-8.916666666666666,802.0,0.0,-38.0,2261.0,672.6666666666666,187.5,6431.083333333333,14.083333333333334,867.75,169.91666666666666,348.0,9467.5,12641.0,0.0,3008.0,1020.0,20564.0,-2.638160095576694,16.250930069444504,-0.23576213956244443,0.0,13.37700678168267,20698.06,,
2020-02-19 10:00:00+00:00,-4.166666666666667,871.5833333333334,0.0,-36.916666666666664,2261.75,672.8333333333334,187.91666666666666,6517.083333333333,14.083333333333334,820.1666666666666,176.08333333333334,347.25,9088.166666666666,12641.0,0.0,3008.0,1020.0,20397.0,-2.632387331653701,16.14912774305562,-0.23745793992139,0.0,13.27928138705577,20285.51,,
2020-02-19 11:00:00+00:00,-10.583333333333334,1201.5833333333333,0.0,-18.916666666666668,2260.9166666666665,672.5833333333334,188.0,6724.416666666667,14.5,795.0,187.75,345.4166666666667,10023.75,12641.0,0.0,3008.0,1020.0,20476.0,-2.6266145677307082,16.047325416666734,-0.23915374028033554,0.0,13.18155599242887,20131.41,,
2020-02-19 12:00:00+00:00,9.166666666666666,1423.5,0.0,1075.0833333333333,2261.4166666666665,675.75,187.75,5937.166666666667,14.75,595.3333333333334,213.33333333333334,347.25,10009.833333333334,12641.0,0.0,3008.0,1020.0,21181.0,-2.6208418038077155,15.94552309027785,-0.2408495406392811,0.0,13.083830597801969,20781.4,,
2020-02-19 13:00:00+00:00,-13.25,1016.75,0.0,2336.4166666666665,2262.0,692.5,194.66666666666666,5053.5,14.75,308.0833333333333,190.16666666666666,347.6666666666667,9784.5,12641.0,0.0,3008.0,1020.0,22860.0,-2.6150690398847223,15.843720763888966,-0.24254534099822667,0.0,12.986105203175068,22477.09,,
2020-02-19 14:00:00+00:00,4.333333333333333,1368.0,0.0,3127.75,2262.5833333333335,687.5833333333334,195.16666666666666,4800.833333333333,14.75,370.4166666666667,210.66666666666666,335.3333333333333,8507.916666666666,12641.0,0.0,3008.0,1020.0,24797.0,-2.6092962759617295,15.741918437500082,-0.24424114135717223,0.0,12.888379808548168,25009.0,,
2020-02-19 15:00:00+00:00,9.416666666666666,1459.5833333333333,0.0,6757.166666666667,2262.0833333333335,687.9166666666666,191.0,4722.583333333333,14.5,232.0,220.58333333333334,327.9166666666667,8015.583333333333,12641.0,0.0,3008.0,1020.0,25280.0,-2.6035235120387363,15.640116111111197,-0.2459369417161178,0.0,12.790654413921267,26028.98,,
2020-02-19 16:00:00+00:00,1.8333333333333333,919.9166666666666,0.0,8605.583333333334,2261.8333333333335,698.75,195.08333333333334,3592.1666666666665,14.666666666666666,150.33333333333334,198.83333333333334,322.1666666666667,6383.0,12641.0,0.0,3008.0,1020.0,24342.0,-2.5977507481157436,15.538313784722313,-0.24763274207506336,0.0,12.692929019294365,25273.57,,
2020-02-19 17:00:00+00:00,4.166666666666667,720.3333333333334,0.0,9185.083333333334,2261.3333333333335,693.25,198.58333333333334,2559.75,14.416666666666666,124.33333333333333,167.41666666666666,321.1666666666667,6188.833333333333,12641.0,0.0,3008.0,1020.0,22965.0,-2.5919779841927504,15.43651145833343,-0.2493285424340089,0.0,12.595203624667466,24296.27,,
2020-02-19 18:00:00+00:00,-3.6666666666666665,779.5833333333334,0.0,9222.166666666666,2261.75,693.4166666666666,198.0,2641.75,14.333333333333334,183.75,170.75,306.3333333333333,5483.333333333333,12641.0,0.0,3008.0,1020.0,21911.0,-2.5862052202697576,15.334709131944544,-0.2510243427929545,0.0,12.497478230040564,23434.49,,
2020-02-19 19:00:00+00:00,-6.0,699.8333333333334,0.0,9091.333333333334,2261.25,691.0833333333334,198.58333333333334,2875.4166666666665,14.333333333333334,196.25,175.08333333333334,308.0,5418.666666666667,12641.0,0.0,3008.0,1020.0,21585.0,-2.580432456346765,15.232906805555661,-0.25272014315190006,0.0,12.399752835413663,22880.14,,
2020-02-19 20:00:00+00:00,11.583333333333334,850.25,0.0,8875.0,2261.3333333333335,690.4166666666666,201.5,3055.75,13.333333333333334,379.75,152.83333333333334,308.4166666666667,5360.166666666667,12641.0,0.0,3008.0,1020.0,21511.0,-2.5746596924237717,15.131104479166776,-0.25441594351084557,0.0,12.302027440786762,22559.96,,
2020-02-19 21:00:00+00:00,1.25,1021.3333333333334,0.0,8047.333333333333,2261.3333333333335,692.1666666666666,202.75,5171.083333333333,13.666666666666666,297.9166666666667,182.0,311.0833333333333,6360.666666666667,12641.0,0.0,3008.0,1020.0,21803.0,-2.568886928500779,15.029302152777891,-0.25611174386979113,0.0,12.204302046159862,22692.78,,
2020-02-19 22:00:00+00:00,-29.5,1420.1666666666667,0.0,4046.1666666666665,2261.6666666666665,693.8333333333334,200.91666666666666,4328.0,13.416666666666666,422.5,219.5,318.8333333333333,8414.333333333334,12641.0,0.0,3008.0,1020.0,22266.0,-2.5631141645777857,14.927499826389006,-0.2578075442287367,0.0,12.106576651532961,22955.86,,
2020-02-19 23:00:00+00:00,11.5,1782.6666666666667,0.0,3910.25,2262.25,698.1666666666666,201.5,5913.333333333333,12.916666666666666,388.5833333333333,221.16666666666666,318.1666666666667,9468.583333333334,12641.0,0.0,3008.0,1020.0,23159.0,-2.557341400654793,14.825697500000123,-0.25950334458768226,0.0,12.00885125690606,23653.45,,
2020-02-20 00:00:00+00:00,26.916666666666668,2038.4166666666667,0.0,3313.5,2262.4166666666665,693.3333333333334,197.66666666666666,7544.166666666667,12.75,39.0,230.83333333333334,338.3333333333333,10232.833333333334,12641.0,0.0,3008.0,1020.0,24711.0,-2.4560100141638412,15.16024937500013,-0.25994917401614226,-0.011259857098955127,12.433028889841097,24706.44,,
2020-02-20 01:00:00+00:00,1.25,2530.75,0.0,264.3333333333333,2262.9166666666665,685.5833333333334,197.08333333333334,8262.833333333334,11.5,37.5,232.41666666666666,345.75,11283.833333333334,12641.0,0.0,3008.0,1020.0,26711.0,-2.3546786276728895,15.494801250000137,-0.26039500344460226,-0.022519714197910254,12.857206522776133,26645.32,,
2020-02-20 02:00:00+00:00,-3.0833333333333335,1797.0833333333333,0.0,-35.583333333333336,2263.0833333333335,690.8333333333334,195.16666666666666,8584.833333333334,10.916666666666666,113.0,213.75,345.25,12121.833333333334,12641.0,0.0,3008.0,1020.0,27850.0,-2.2533472411819377,15.829353125000145,-0.26084083287306226,-0.03377957129686538,13.28138415571117,28493.33,,
2020-02-20 03:00:00+00:00,9.916666666666666,1456.3333333333333,0.0,-35.0,2263.25,690.1666666666666,196.41666666666666,8139.833333333333,12.25,205.25,189.08333333333334,341.4166666666667,11684.833333333334,12641.0,0.0,3008.0,1020.0,27426.0,-2.152015854690986,16.163905000000153,-0.2612866623015223,-0.04503942839582051,13.705561788646207,28142.79,,
2020-02-20 04:00:00+00:00,10.166666666666666,1990.25,0.0,-36.416666666666664,2262.0833333333335,684.25,194.58333333333334,8060.916666666667,12.416666666666666,197.25,186.91666666666666,334.1666666666667,10734.916666666666,12641.0,0.0,3008.0,1020.0,26552.0,-2.0506844682000347,16.49845687500016,-0.2617324917299823,-0.056299285494775635,14.129739421581244,27357.36,,
2020-02-20 05:00:00+00:00,-38.25,1440.0,0.0,-36.166666666666664,2263.0833333333335,691.0,200.08333333333334,7823.0,13.166666666666666,377.5,183.83333333333334,342.0833333333333,10324.333333333334,12641.0,0.0,3008.0,1020.0,25205.0,-1.949353081709083,16.833008750000165,-0.2621783211584423,-0.06755914259373076,14.55391705451628,26099.53,,
2020-02-20 06:00:00+00:00,-5.083333333333333,1203.5,0.0,-37.5,2262.0,682.75,194.25,8130.416666666667,13.166666666666666,476.4166666666667,178.33333333333334,336.1666666666667,8910.5,12641.0,0.0,3008.0,1020.0,23517.0,-1.8480216952181312,17.167560625000174,-0.2626241505869023,-0.07881899969268588,14.978094687451316,24204.32,,
2020-02-20 07:00:00+00:00,-11.166666666666666,1108.1666666666667,0.0,-36.583333333333336,2263.5833333333335,700.3333333333334,208.83333333333334,7148.583333333333,13.916666666666666,620.9166666666666,159.83333333333334,335.0,8189.583333333333,12641.0,0.0,3008.0,1020.0,22089.0,-1.7466903087271795,17.50211250000018,-0.2630699800153623,-0.09007885679164102,15.402272320386352,22578.59,,
2020-02-20 08:00:00+00:00,-11.166666666666666,1108.0,0.0,-39.0,2264.5833333333335,706.6666666666666,210.16666666666666,7202.833333333333,14.083333333333334,262.3333333333333,156.83333333333334,332.0833333333333,8661.833333333334,12641.0,0.0,3008.0,1020.0,22038.92,-1.6453589222362277,17.836664375000186,-0.26351580944382236,-0.10133871389059614,15.826449953321388,21311.46,,
2020-02-20 09:00:00+00:00,-7.416666666666667,1079.6666666666667,0.0,-40.5,2264.8333333333335,707.1666666666666,210.75,7148.166666666667,14.083333333333334,268.5833333333333,175.08333333333334,327.5833333333333,8666.5,12641.0,0.0,3008.0,1020.0,21988.84,-1.544027535745276,18.171216250000196,-0.26396163887228236,-0.11259857098955127,16.250627586256424,20676.62,,
2020-02-20 10:00:00+00:00,0.9166666666666666,1179.5,0.0,-40.916666666666664,2265.4166666666665,707.5833333333334,211.0,6982.083333333333,14.166666666666666,347.1666666666667,165.33333333333334,332.25,9113.333333333334,12641.0,0.0,3008.0,1020.0,21938.76,-1.4426961492543244,18.505768125000202,-0.26440746830074235,-0.12385842808850639,16.674805219191462,20343.55,,
2020-02-20 11:00:00+00:00,4.083333333333333,1712.75,0.0,-18.0,2265.25,709.25,210.66666666666666,7314.0,13.833333333333334,275.5833333333333,160.66666666666666,326.1666666666667,9467.666666666666,12641.0,0.0,3008.0,1020.0,21888.68,-1.3413647627633727,18.840320000000208,-0.26485329772920235,-0.13511828518746152,17.098982852126497,20315.85,,
2020-02-20 12:00:00+00:00,-2.9166666666666665,1626.1666666666667,0.0,1791.4166666666667,2264.6666666666665,707.9166666666666,210.25,6472.5,14.416666666666666,298.6666666666667,194.91666666666666,323.6666666666667,9242.583333333334,12641.0,0.0,3008.0,1020.0,21838.6,-1.240033376272421,19.174871875000214,-0.26529912715766235,-0.14637814228641666,17.523160485061535,20896.36,,
2020-02-20 13:00:00+00:00,5.5,1282.5833333333333,0.0,3999.5,2265.4166666666665,706.0,206.75,5422.333333333333,14.583333333333334,404.6666666666667,197.16666666666666,332.9166666666667,8301.583333333334,12641.0,0.0,3008.0,1020.0,21788.52,-1.1387019897814692,19.509423750000224,-0.26574495658612235,-0.15763799938537176,17.947338117996573,22519.8,,
2020-02-20 14:00:00+00:00,15.583333333333334,1755.3333333333333,0.0,6289.416666666667,2265.6666666666665,706.8333333333334,207.91666666666666,6031.916666666667,15.5,401.1666666666667,231.41666666666666,326.75,7047.083333333333,12641.0,0.0,3008.0,1020.0,21738.44,-1.0373706032905177,19.84397562500023,-0.26619078601458235,-0.1688978564843269,18.371515750931607,25051.34,,
2020-02-20 15:00:00+00:00,-1.6666666666666667,1670.6666666666667,0.0,7216.25,2265.3333333333335,701.4166666666666,205.5,4804.583333333333,16.25,467.1666666666667,196.25,314.1666666666667,6156.666666666667,12641.0,0.0,3008.0,1020.0,21688.36,-0.9360392167995659,20.178527500000236,-0.2666366154430424,-0.18015771358328203,18.79569338386664,25686.23,,
2020-02-20 16:00:00+00:00,-6.75,897.4166666666666,0.0,8603.333333333334,2265.8333333333335,696.0833333333334,200.75,3045.8333333333335,17.416666666666668,508.8333333333333,178.25,323.0833333333333,6006.083333333333,12641.0,0.0,3008.0,1020.0,21638.28,-0.8347078303086142,20.513079375000245,-0.2670824448715024,-0.19141757068223714,19.21987101680168,24627.29,,
2020-02-20 17:00:00+00:00,0.0,737.25,0.0,9521.916666666666,2265.8333333333335,694.8333333333334,198.91666666666666,2863.75,18.083333333333332,539.25,170.25,310.75,5052.166666666667,12641.0,0.0,3008.0,1020.0,21588.2,-0.7333764438176624,20.84763125000025,-0.2675282742999624,-0.20267742778119227,19.644048649736717,23412.22,,
2020-02-20 18:00:00+00:00,-10.25,717.5,0.0,9772.5,2265.5,694.6666666666666,195.58333333333334,2777.75,18.416666666666668,559.1666666666666,145.66666666666666,305.6666666666667,4720.75,12641.0,0.0,3008.0,1020.0,21538.12,-0.6320450573267109,21.182183125000257,-0.2679741037284224,-0.2139372848801474,20.068226282671752,22421.53,,
2020-02-20 19:00:00+00:00,-4.25,778.0833333333334,0.0,9730.333333333334,2264.6666666666665,756.75,196.0,3381.1666666666665,16.166666666666668,492.8333333333333,165.91666666666666,314.0833333333333,4719.0,12641.0,0.0,3008.0,1020.0,21488.04,-0.5307136708357589,21.516735000000267,-0.2684199331568824,-0.22519714197910254,20.49240391560679,21749.63,,
2020-02-20 20:00:00+00:00,-14.75,1030.9166666666667,0.0,9031.25,2265.0833333333335,690.3333333333334,199.33333333333334,3717.75,15.916666666666666,467.0833333333333,114.83333333333333,316.8333333333333,5289.416666666667,12641.0,0.0,3008.0,1020.0,21437.96,-0.42938228434480763,21.851286875000273,-0.26886576258534245,-0.23645699907805764,20.916581548541828,21370.02,,
2020-02-20 21:00:00+00:00,-9.083333333333334,1207.1666666666667,0.0,7308.75,2265.0833333333335,709.3333333333334,195.75,4686.0,15.833333333333334,411.0833333333333,135.08333333333334,316.75,5616.083333333333,12641.0,0.0,3008.0,1020.0,21387.88,-0.3280508978538559,22.18583875000028,-0.26931159201380245,-0.24771685617701278,21.340759181476862,21555.92,,
2020-02-20 22:00:00+00:00,9.75,1757.0833333333333,0.0,4918.166666666667,2264.5833333333335,749.8333333333334,200.08333333333334,6670.0,15.416666666666666,374.5,221.33333333333334,322.25,7445.0,12641.0,0.0,3008.0,1020.0,21337.8,-0.22671951136290414,22.52039062500029,-0.26975742144226245,-0.2589767132759679,21.764936814411897,21991.79,,
2020-02-20 23:00:00+00:00,-10.0,1971.4166666666667,0.0,3374.25,2264.75,732.4166666666666,204.75,7223.0,15.416666666666666,425.3333333333333,168.33333333333334,334.4166666666667,9191.583333333334,12641.0,0.0,3008.0,1020.0,21287.72,-0.12538812487195247,22.854942500000295,-0.27020325087072244,-0.27023657037492305,22.189114447346935,22791.04,,
